,AXA,GENERALI ITALIA,HDI,ZURICH_LIFE,CREDIT_AGRICOLE,CREDEM_VITA,CARDIF,HELVETIA_VITA,BMP VITA,UNICREDIT VITA,CNP_VITA,ALLIANZ_UNICREDIT,ATHORA,NOBIS_VITA,MEDIOLANUM,POSTE_VITA,QRT_INTESA_VITA,QRT_FIDEURAM_VITA,ITAS_VITA,GROUPAMA,REALE_MUTUA,BBC_VITA
R0010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R0030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R0040,0,83675,9916,0,0,639,0,1001,6301,0,0,0,252864,5831534.87,49239,1810440,575604,50232,83877324,0,395264,88933919
R0050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R0060,7498775,453560,41752,3423,46214,755,39,43447,3113,40749,2957,0,2154,6880.8,12441,7865,23649,3437,74806,35327,363211,0
R0070,13675315161.38,87964448,5328579,4403623,18074332,5683690,19072409.8,2564528,7230345,7358208,17669981,9525619,4851112,202606727.71,3026658,143923219,86448347,9804694,2644430792,3913719,17942910,5079126462
R0080,39000,1445609,45338,0,8201,0,0,1705,0,0,0,0,35915,0,54983,0,0,0,6490000,7404,1499341,0
R0090,192314150.08,18515654,136242,1511,238046,0,0,0,952890,0,0,0,68,0,0,718788,1188508,0,0,24888,147334,0
R0100,120228957.35,4048034,5970,241363,481033,250,245863.46,26021,162814,105946,287233,18578,11000,5011983.02,264,3390,2886234,320478,39948587,4535,234425,26276
R0110,74597798.46,946556,3961,241363,480949,0,179268.44,26021,162814,79946,274214,18578,0,5011983.02,0,665,2736973,320254,39948347,4512,38597,0
R0120,45631158.89,3101477,2009,0,83,250,66595.03,0,0,26000,13019,0,11000,0,264,2725,149261,224,240,23,195828,26276
R0130,10902783831.38,52305686,4882163,3554811,15254477,5002428,15806071,2319606,5211369,6724766,15193517,9294532,3456147,193845136.72,2907449,114651137,68861573,8330755,2281370952,3228371,15189523,4567281514
R0140,4710113268.18,29358204,3222852,2405748,11192673,3959344,10346514.63,1755597,5211369,5280818,9666133,4868841,3107949,165802631.36,2710445,91289732,46295407,5888427,2035518681,1815591,10315595,3156730845
R0150,4725383928.03,17230765,1602885,1108873,4061804,1043083,4619515.68,564009,0,1232092,4609252,4425691,199544,28042505.36,147302,23302371,16584050,1815122,210805416,1402937,4618595,1375791819
R0160,173490763.72,5497133,54510,40189,0,0,840040.68,0,0,211856,905618,0,0,0,49701,59034,5953643,627206,35046855,9843,12383,34758850
R0170,1293795871.45,219583,1916,0,0,0,0,0,0,0,12513,0,148654,0,0,0,28473,0,0,0,242950,0
R0180,2449254024.57,11558227,258865,605938,2089679,681012,3011236.48,217197,903272,527496,2189230,211212,1347982,3749607.97,63945,28549904,13451622,1151582,316621254,648521,865379,511818672
R0190,10695198,91239,0,0,2896,0,9238.86,0,0,0,1,1297,0,0,0,0,60411,1878,0,0,1082,0
R0200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,5826,0
R0210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R0220,4829369144,16665297,729869,6219072,8750768,5293689,5448489.18,1522848,1104737,9053648,7690225,21020291,659408,386066815.01,44965646,23223494,52465353,37791036,1980867823,780991,3095950,1369157930
R0230,0,719227,11809,593284,0,0,59,228,39,42,592,0,10557,38714.74,3451,1686,148253,1759,55155,3340,41034,0
R0240,0,56534,443,4937,0,0,59,118,0,0,405,0,26,38714.74,3451,1652,176,1702,0,1327,39454,0
R0250,0,6100,0,287,0,0,0,110,39,42,187,0,0,0,0,34,0,19,55155,1810,1580,0
R0260,0,656592,11366,588060,0,0,0,0,0,0,0,0,10531,0,0,0,148077,38,0,203,0,0
R0270,647721,4517353,151416,18919,-545,2760,-1742.04,-13766,3874,66990,27962,772,3499,-637328.18,-17710,7147,0,0,-3656213,70999,390531,29463707
R0280,0,4511603,157503,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,67583,318897,0
R0290,0,4368484,155450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67604,307470,0
R0300,0,143119,2053,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,-21,11427,0
R0310,647721,5750,-6142,18919,-545,3162,-1742.04,-12204,3821,66990,25013,772,3499,-637328.18,-17710,7147,0,0,-3656213,3416,66889,29463707
R0320,0,0,191,0,0,0,0,0,0,0,0,0,0,0,0,308,0,0,1842227,0,173,0
R0330,647721,5750,-6332,18919,-545,3162,-1742.04,-12204,3821,66990,25013,772,3499,-637328.18,-17710,6838,0,0,-5498440,3416,66716,29463707
R0340,0,0,55,0,0,-402,0,-1562,2,0,2949,0,0,0,0,0,0,0,0,0,4745,0
R0350,0,208147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,654,0
R0360,2376579,2369244,136130,53843,277,3300,14633.33,8395,0,10886,2368,1248,2161,1973112.98,855,86554,7261,5436,8123578,242484,827315,11456586
R0370,297571,175618,26186,1272,565,2667,48.32,1433,170,36052,10962,6,314,0,132,1125,1053,408,4,979,57210,792058
R0380,301610995.6,2173720,127962,186013,314666,206679,354920.73,55309,120498,340111,430817,806224,164297,9862335.61,462652,20636,2121192,573005,57800146,168465,682303,107367899
R0390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R0400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R0410,74493443.02,835068,206983,40012,55730,74274,88714.9,17054,30377,254078,438634,45962,22184,12106350.7,119006,4145305,1771780,576319,51264493,73497,337873,167064825
R0420,3758022,1269395,10294,576,93193,940,0,650,5230,0,18572,88498,8613,6513.43,211883,2219857,331932,397237,228762,88396,555438,1049013
R0500,18895367412,117434752,6780895,11520037,27335201,11269393,24977572.31,4201127,8504683,17160764,26293070,31488620,5977163,617861658,48834253,175447327,143894425,49203563,4823066670,5378197,24689693,6854412400
R0510,0,10511919,1349016,0,0,0,426.16,0,1393,0,0,0,0,0,0,15854,1013,0,0,1690678,4586074,0
R0520,0,9451103,1292919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1601367,4212351,0
R0530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R0540,0,9274950,1249941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1546319,4034123,0
R0550,0,176153,42978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55048,178228,0
R0560,0,1060817,56097,0,0,0,426.16,0,1393,0,0,0,0,0,0,15854,1013,0,0,89311,373723,0
R0570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1013,0,0,0,0,0
R0580,0,1045088,54418,0,0,0,426.16,0,1386,0,0,0,0,0,0,11306,0,0,0,85035,364125,0
R0590,0,15728,1679,0,0,0,0,0,7,0,0,0,0,0,0,4549,0,0,0,4276,9598,0
