,AXA,GENERALI ITALIA,HDI,ZURICH_LIFE,CREDIT_AGRICOLE
R0010,0,0,0,0,0
R0030,0,0,0,0,0
R0040,0,"83,675","9,916",0,0
R0050,0,0,0,0,0
R0060,"7,498,775.00","453,560","41,752","3,423","46,214"
R0070,"13,675,315,161.38","87,964,448","5,328,579","4,403,623","18,074,332"
R0080,"39,000.00","1,445,609","45,338",0,"8,201"
R0090,"192,314,150.08","18,515,654","136,242","1,511","238,046"
R0100,"120,228,957.35","4,048,034","5,970","241,363","481,033"
R0110,"74,597,798.46","946,556","3,961","241,363","480,949"
R0120,"45,631,158.89","3,101,477","2,009",0,83
R0130,"10,902,783,831.38","52,305,686","4,882,163","3,554,811","15,254,477"
R0140,"4,710,113,268.18","29,358,204","3,222,852","2,405,748","11,192,673"
R0150,"4,725,383,928.03","17,230,765","1,602,885","1,108,873","4,061,804"
R0160,"173,490,763.72","5,497,133","54,510","40,189",0
R0170,"1,293,795,871.45","219,583","1,916",0,0
R0180,"2,449,254,024.57","11,558,227","258,865","605,938","2,089,679"
R0190,"10,695,198.00","91,239",0,0,"2,896"
R0200,0,0,0,0,0
R0210,0,0,0,0,0
R0220,"4,829,369,144.00","16,665,297","729,869","6,219,072","8,750,768"
R0230,0,"719,227","11,809","593,284",0
R0240,0,"56,534",443,"4,937",0
R0250,0,"6,100",0,287,0
R0260,0,"656,592","11,366","588,060",0
R0270,"647,721.00","4,517,353","151,416","18,919",-545
R0280,0,"4,511,603","157,503",0,0
R0290,0,"4,368,484","155,450",0,0
R0300,0,"143,119","2,053",0,0
R0310,"647,721.00","5,750","-6,142","18,919",-545
R0320,0,0,191,0,0
R0330,"647,721.00","5,750","-6,332","18,919",-545
R0340,0,0,55,0,0
R0350,0,"208,147",0,0,0
R0360,"2,376,579.00","2,369,244","136,130","53,843",277
R0370,"297,571.00","175,618","26,186","1,272",565
R0380,"301,610,995.60","2,173,720","127,962","186,013","314,666"
R0390,0,0,0,0,0
R0400,0,0,0,0,0
R0410,"74,493,443.02","835,068","206,983","40,012","55,730"
R0420,"3,758,022.00","1,269,395","10,294",576,"93,193"
R0500,"18,895,367,412.00","117,434,752","6,780,895","11,520,037","27,335,201"
R0510,0,"10,511,919","1,349,016",0,0
R0520,0,"9,451,103","1,292,919",0,0
R0530,0,0,0,0,0
R0540,0,"9,274,950","1,249,941",0,0
R0550,0,"176,153","42,978",0,0
R0560,0,"1,060,817","56,097",0,0
R0570,0,0,0,0,0
R0580,0,"1,045,088","54,418",0,0
R0590,0,"15,728","1,679",0,0
R0600,"12,095,638,985.00","59,594,885","3,463,224","4,420,605","16,279,269"
R0610,"16,477,398.00",0,231,0,0
R0620,0,0,0,0,0
R0630,"7,855,059.00",0,228,0,0
R0640,"8,622,339.00",0,3,0,0
R0650,"12,079,161,587.00","59,594,885","3,462,993","4,420,605","16,279,269"
R0660,0,0,0,0,0
R0670,"11,968,484,663.00","59,012,836","3,423,265","4,349,009","16,075,141"
R0680,"110,676,924.00","582,048","39,728","71,596","204,127"
R0690,"4,714,510,265.00","15,093,478","691,740","5,987,451","8,526,673"
R0700,0,0,0,0,0
R0710,"4,686,234,221.00","14,973,070","685,318","5,941,706","8,494,785"
R0720,"28,276,044.00","120,408","6,423","45,745","31,888"
R0730,0,0,0,0,0
R0740,0,0,0,0,0
R0750,"5,472,962.00","170,820","9,389","19,793","9,469"
R0760,"1,341,307.00","19,667","7,498",865,465
R0770,"384,440.00","3,845,135","33,099","21,124",0
R0780,"72,235,674.00","1,790,461","32,300","154,374","114,522"
R0790,"137,893,406.00","238,345",0,0,0
R0800,0,"777,653",0,0,0
R0810,0,"436,412","43,513","3,671",0
R0820,"76,892,675.00","870,875","43,647","40,705","170,272"
R0830,"144,693.00","150,749","19,650","2,301",731
R0840,"106,044,477.00","1,406,471","49,081","26,276","34,041"
R0850,"129,110,000.00","248,817","167,419",0,"682,977"
R0860,0,0,0,0,0
R0870,"129,110,000.00","248,817","167,419",0,"682,977"
R0880,"16,730,122.00","1,011,107","33,473","67,566","138,305"
R0890,0,0,0,0,0
R0900,"17,356,399,006.00","96,166,794","5,943,050","10,744,729","25,956,724"
R1000,"1,538,968,406.00","21,267,958","837,845","775,308","1,378,477"
