,AXA,GENERALI ITALIA,HDI,ZURICH_LIFE,CREDIT_AGRICOLE,CREDEM_VITA,CARDIF,HELVETIA_VITA,BMP VITA,UNICREDIT VITA,CNP_VITA,ALLIANZ_UNICREDIT,ATHORA,NOBIS_VITA,POSTE_VITA,QRT_INTESA_VITA,QRT_FIDEURAM_VITA,ITAS_VITA,GROUPAMA,BCC_VITA
R0010,569000000,1618628,351000,207925,236350,221600,195209.98,47594,2099125,381699,247000,112200,50432,33704000,1216608,320423,406947,81064962,492827,62000000
R0030,0,4186115,0,0,0,0,754850.2,495,0,86534,0,188838,628,0,0,1328097,0,48669549,36326,0
R0040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R0050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R0070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R0090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R0110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R0130,758869406,13976214,389145,542383,1142127,606642,402196.83,243602,-756391,646995,1667325,1076052,232651,26217510.8,9411373,5985717,1282205,314702864,363539,256316265
R0140,129110000,248817,167419,0,682977,0,313197.17,73388,8000,0,453926,90009,81858,0,771116,1628747,141077,0,181749,55959386
R0160,0,0,0,0,0,0,0,1001,0,0,0,0,49152,0,0,0,0,0,0,0
R0180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R0220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R0230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R0290,1456979406,20029775,907564,750308,2061453,828242,1665454.17,366081,1350734,1115228,2368251,1467099,414721,59921510.8,11399097,9262984,1830229,444437375,1074441,374275652
R0300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1750000,0,0,0,0,0
R0310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R0320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R0330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R0340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R0350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R0360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R0370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R0390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R0400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1750000,0,0,0,0,0
R0500,1456979406,20029775,907564,750308,2061453,828242,1665454.17,366081,1350734,1115228,2368251,1467099,414721,59921510.8,13149097,9262984,1830229,444437375,1074441,374275652
R0510,1456979406,20029775,907564,750308,2061453,828242,1352257,365080,1350734,1115228,2368251,1467099,365569,59921510.8,11399097,9262984,1830229,444437375,1074441,374275652
R0540,1456979406,20029775,907564,750308,2061453,828242,1665454.17,359756,1350734,1115228,2242638,1467099,384086,59921510.8,13149097,9262984,1830229,444437375,1074441,374275652
R0550,1456979406,20029775,778853,750308,1690741,828242,1511018.59,303943,1350734,1115228,1973421,1467099,301778,59921510.8,11399097,7934844,1759503,444437375,928455,335200660
R0580,747517878,7777064,430089,371654,965615,299248,517478.32,136129,305034,271513,656625,444493,200750,17211378.58,4229401,3340075,781687,171133685,397364,187604387
R0600,336383045,3239737,193540,167244,434527,134662,232865.24,61258,137265,122181,295481,200022,90338,7085178.94,1903231,1503034,351758,77010158,178814,84421974
R0620,195,258,211,202,213,277,321.8,264,443,411,342,330,191,348,311,277,234,260,270,199.5
R0640,433,618,402,449,389,615,648.9,496,984,913,668,733,334,846,599,528,500,577,519,397.1
