,ALLIANZ_UNICREDIT
R0010,0.0
R0030,0.0
R0040,0.0
R0050,0.0
R0060,0.0
R0070,9525619.0
R0080,0.0
R0090,0.0
R0100,18578.0
R0110,18578.0
R0120,0.0
R0130,9294532.0
R0140,4868841.0
R0150,4425691.0
R0160,0.0
R0170,0.0
R0180,211212.0
R0190,1297.0
R0200,0.0
R0210,0.0
R0220,21020291.0
R0230,0.0
R0240,0.0
R0250,0.0
R0260,0.0
R0270,772.0
R0280,0.0
R0290,0.0
R0300,0.0
R0310,772.0
R0320,0.0
R0330,772.0
R0340,0.0
R0350,0.0
R0360,1248.0
R0370,6.0
R0380,806224.0
R0390,0.0
R0400,0.0
R0410,45962.0
R0420,88498.0
R0500,31488620.0
