,ALLIANZ_UNICREDIT
R0510,0.0
R0520,0.0
R0530,0.0
R0540,0.0
R0550,0.0
R0560,0.0
R0570,0.0
R0580,0.0
R0590,0.0
R0600,8671410.0
R0610,0.0
R0620,0.0
R0630,0.0
R0640,0.0
R0650,8671410.0
R0660,0.0
R0670,8603102.0
R0680,68308.0
R0690,20587885.0
R0700,0.0
R0710,20557002.0
R0720,30883.0
R0730,0.0
R0740,0.0
R0750,14125.0
R0760,17.0
R0770,306.0
R0780,361369.0
R0790,62.0
R0800,10302.0
R0810,0.0
R0820,24533.0
R0830,133.0
R0840,179840.0
R0850,90009.0
R0860,0.0
R0870,90009.0
R0880,76512.0
R0890,0.0
R0900,30016503.0
R1000,1472117.0
