,ATHORA
R0510,0.0
R0520,0.0
R0530,0.0
R0540,0.0
R0550,0.0
R0560,0.0
R0570,0.0
R0580,0.0
R0590,0.0
R0600,4595961.0
R0610,0.0
R0620,0.0
R0630,0.0
R0640,0.0
R0650,4595961.0
R0660,46426.0
R0670,4487110.0
R0680,62425.0
R0690,648934.0
R0700,3152.0
R0710,636977.0
R0720,8805.0
R0730,0.0
R0740,0.0
R0750,1095.0
R0760,584.0
R0770,1412.0
R0780,203712.0
R0790,40528.0
R0800,0.0
R0810,1282.0
R0820,10921.0
R0830,18571.0
R0840,30498.0
R0850,81858.0
R0860,0.0
R0870,81858.0
R0880,8945.0
R0890,0.0
R0900,5644301.0
R1000,332863.0
