,BMP VITA
R0010,0.0
R0030,992.0
R0040,6301.0
R0050,0.0
R0060,3113.0
R0070,7230345.0
R0080,0.0
R0090,952890.0
R0100,162814.0
R0110,162814.0
R0120,0.0
R0130,5211369.0
R0140,5211369.0
R0150,0.0
R0160,0.0
R0170,-1.0
R0180,903272.0
R0190,-1.0
R0200,-1.0
R0210,-1.0
R0220,1104737.0
R0230,39.0
R0240,0.0
R0250,39.0
R0260,0.0
R0270,3874.0
R0280,50.0
R0290,0.0
R0300,50.0
R0310,3821.0
R0320,0.0
R0330,3821.0
R0340,2.0
R0350,0.0
R0360,0.0
R0370,170.0
R0380,120498.0
R0390,0.0
R0400,0.0
R0410,30377.0
R0420,5230.0
R0500,8504683.0
