,CNP_VITA
R0010,0.0
R0030,0.0
R0040,0.0
R0050,0.0
R0060,2957.0
R0070,17669981.0
R0080,0.0
R0090,0.0
R0100,287233.0
R0110,274214.0
R0120,13019.0
R0130,15193517.0
R0140,9666133.0
R0150,4609252.0
R0160,905618.0
R0170,12513.0
R0180,2189230.0
R0190,1.0
R0200,0.0
R0210,0.0
R0220,7690225.0
R0230,592.0
R0240,405.0
R0250,187.0
R0260,0.0
R0270,27962.0
R0280,0.0
R0290,0.0
R0300,0.0
R0310,25013.0
R0320,0.0
R0330,25013.0
R0340,2949.0
R0350,0.0
R0360,2368.0
R0370,10962.0
R0380,430817.0
R0390,0.0
R0400,0.0
R0410,438634.0
R0420,18572.0
R0500,26293070.0
