,CREDEM_VITA
R0010,0.0
R0030,0.0
R0040,639.0
R0050,0.0
R0060,755.0
R0070,5683690.0
R0080,0.0
R0090,0.0
R0100,250.0
R0110,0.0
R0120,250.0
R0130,5002428.0
R0140,3959344.0
R0150,1043083.0
R0160,0.0
R0170,0.0
R0180,681012.0
R0190,0.0
R0200,0.0
R0210,0.0
R0220,5293689.0
R0230,0.0
R0240,0.0
R0250,0.0
R0260,0.0
R0270,2760.0
R0280,0.0
R0290,0.0
R0300,0.0
R0310,3162.0
R0320,0.0
R0330,3162.0
R0340,-402.0
R0350,0.0
R0360,3300.0
R0370,2667.0
R0380,206679.0
R0390,0.0
R0400,0.0
R0410,74274.0
R0420,940.0
R0500,11269393.0
