,CREDIT_AGRICOLE
R0010,0.0
R0030,0.0
R0040,0.0
R0050,0.0
R0060,46214.0
R0070,18074332.0
R0080,8201.0
R0090,238046.0
R0100,481033.0
R0110,480949.0
R0120,83.0
R0130,15254477.0
R0140,11192673.0
R0150,4061804.0
R0160,0.0
R0170,0.0
R0180,2089679.0
R0190,2896.0
R0200,0.0
R0210,0.0
R0220,8750768.0
R0230,0.0
R0240,0.0
R0250,0.0
R0260,0.0
R0270,-545.0
R0280,0.0
R0290,0.0
R0300,0.0
R0310,-545.0
R0320,0.0
R0330,-545.0
R0340,0.0
R0350,0.0
R0360,277.0
R0370,565.0
R0380,314666.0
R0390,0.0
R0400,0.0
R0410,55730.0
R0420,93193.0
R0500,27335201.0
