,CREDIT_AGRICOLE
R0510,0.0
R0520,0.0
R0530,0.0
R0540,0.0
R0550,0.0
R0560,0.0
R0570,0.0
R0580,0.0
R0590,0.0
R0600,16279269.0
R0610,0.0
R0620,0.0
R0630,0.0
R0640,0.0
R0650,16279269.0
R0660,0.0
R0670,16075141.0
R0680,204127.0
R0690,8526673.0
R0700,0.0
R0710,8494785.0
R0720,31888.0
R0730,0.0
R0740,0.0
R0750,9469.0
R0760,465.0
R0770,0.0
R0780,114522.0
R0790,0.0
R0800,0.0
R0810,0.0
R0820,170272.0
R0830,731.0
R0840,34041.0
R0850,682977.0
R0860,0.0
R0870,682977.0
R0880,138305.0
R0890,0.0
R0900,25956724.0
R1000,1378477.0
