,GENERALI ITALIA
R0510,10511919.0
R0520,9451103.0
R0530,0.0
R0540,9274950.0
R0550,176153.0
R0560,1060817.0
R0570,0.0
R0580,1045088.0
R0590,15728.0
R0600,59594885.0
R0610,0.0
R0620,0.0
R0630,0.0
R0640,0.0
R0650,59594885.0
R0660,0.0
R0670,59012836.0
R0680,582048.0
R0690,15093478.0
R0700,0.0
R0710,14973070.0
R0720,120408.0
R0730,0.0
R0740,0.0
R0750,170820.0
R0760,19667.0
R0770,3845135.0
R0780,1790461.0
R0790,238345.0
R0800,777653.0
R0810,436412.0
R0820,870875.0
R0830,150749.0
R0840,1406471.0
R0850,248817.0
R0860,0.0
R0870,248817.0
R0880,1011107.0
R0890,0.0
R0900,96166794.0
R1000,21267958.0
