,HDI
R0010,0.0
R0030,0.0
R0040,9916.0
R0050,0.0
R0060,41752.0
R0070,5328579.0
R0080,45338.0
R0090,136242.0
R0100,5970.0
R0110,3961.0
R0120,2009.0
R0130,4882162.0
R0140,3222852.0
R0150,1602885.0
R0160,54510.0
R0170,1916.0
R0180,258865.0
R0190,0.0
R0200,0.0
R0210,0.0
R0220,729869.0
R0230,11809.0
R0240,443.0
R0250,0.0
R0260,11366.0
R0270,151416.0
R0280,157503.0
R0290,155450.0
R0300,2053.0
R0310,-6142.0
R0320,191.0
R0330,-6332.0
R0340,55.0
R0350,0.0
R0360,136130.0
R0370,26186.0
R0380,127962.0
R0390,0.0
R0400,0.0
R0410,206983.0
R0420,10294.0
R0500,6780895.0
