,HDI
R0510,1349016.0
R0520,1292919.0
R0530,0.0
R0540,1249941.0
R0550,42978.0
R0560,56097.0
R0570,0.0
R0580,54418.0
R0590,1679.0
R0600,3463224.0
R0610,231.0
R0620,0.0
R0630,228.0
R0640,3.0
R0650,3462993.0
R0660,0.0
R0670,3423265.0
R0680,39728.0
R0690,691740.0
R0700,0.0
R0710,685318.0
R0720,6423.0
R0730,0.0
R0740,0.0
R0750,9389.0
R0760,7498.0
R0770,33099.0
R0780,32300.0
R0790,0.0
R0800,0.0
R0810,43513.0
R0820,43647.0
R0830,19650.0
R0840,49081.0
R0850,167419.0
R0860,0.0
R0870,167419.0
R0880,33473.0
R0890,0.0
R0900,5943050.0
R1000,837845.0
