,HELVETIA_VITA
R0010,0.0
R0030,0.0
R0040,1001.0
R0050,0.0
R0060,43447.0
R0070,2564528.0
R0080,1705.0
R0090,0.0
R0100,26021.0
R0110,26021.0
R0120,0.0
R0130,2319606.0
R0140,1755597.0
R0150,564009.0
R0160,0.0
R0170,0.0
R0180,217197.0
R0190,0.0
R0200,0.0
R0210,0.0
R0220,1522848.0
R0230,228.0
R0240,118.0
R0250,110.0
R0260,0.0
R0270,-13766.0
R0280,0.0
R0290,0.0
R0300,0.0
R0310,-12204.0
R0320,0.0
R0330,-12204.0
R0340,-1562.0
R0350,0.0
R0360,8395.0
R0370,1433.0
R0380,55309.0
R0390,0.0
R0400,0.0
R0410,17054.0
R0420,650.0
R0500,4201127.0
