,NOBIS_VITA
R0510,0.0
R0520,0.0
R0530,0.0
R0540,0.0
R0550,0.0
R0560,181783585.47
R0570,181783585.47
R0580,0.0
R0590,0.0
R0600,181783585.47
R0610,181783585.47
R0620,340450562.43
R0630,105218.32
R0640,340450562.43
R0650,181783585.47
R0660,181783585.47
R0670,340450562.43
R0680,105218.32
R0690,340450562.43
R0700,340450562.43
R0710,105218.32
R0720,340450562.43
R0730,0.0
R0740,0.0
R0750,0.0
R0760,0.0
R0770,0.0
R0780,0.0
R0790,0.0
R0800,0.0
R0810,0.0
R0820,637328.18
R0830,0.0
R0840,5831534.87
R0850,0.0
R0860,0.0
R0870,0.0
R0880,0.0
R0890,0.0
R0900,0.0
R1000,0.0
