,HDI,UNICREDIT VITA,ATHORA,ALLIANZ_UNICREDIT,CNP_VITA,BMP VITA,HELVETIA_VITA,CARDIF,CREDEM_VITA,CREDIT_AGRICOLE,ZURICH_LIFE,AXA,GENERALI ITALIA
R0010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.11,0.0,0.0,0.0,-1.0,0.0
R0030,0.0,0.0,0.0,0.0,0.0,992.0,0.0,19.0724098,0.0,0.0,0.0,-1.0,0.0
R0040,9916.0,0.0,252864.0,0.0,0.0,6301.0,1001.0,245863.46,639.0,0.0,0.0,-1.0,83675.0
R0050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179268.44,0.0,0.0,0.0,-1.0,0.0
R0060,41752.0,40749.0,2154.0,0.0,2957.0,3113.0,43447.0,66595.03,755.0,46214.0,3423.0,7498775.0,453560.0
R0070,5328579.0,7358208.0,4851112.0,9525619.0,17669981.0,7230345.0,2564528.0,19072409.8,755.0,18074332.0,4403623.0,13675315161.28,87964448.0
R0080,45338.0,0.0,35915.0,0.0,0.0,0.0,1705.0,10346514.63,0.0,8201.0,0.0,39000.0,1445609.0
R0090,136242.0,0.0,68.0,0.0,0.0,952890.0,0.0,4619515.68,0.0,238046.0,1511.0,192314150.08,18515654.0
R0100,5970.0,105946.0,11000.0,18578.0,287233.0,162814.0,26021.0,245863.46,250.0,481033.0,241363.0,126228957.35,4048034.0
R0110,3961.0,79946.0,0.0,18578.0,274214.0,162814.0,26021.0,179268.44,0.0,480949.0,241363.0,74597798.46,946556.0
R0120,2009.0,26000.0,11000.0,0.0,13019.0,0.0,0.0,66595.03,250.0,83.0,0.0,45631158.89,3101477.0
R0130,4802163.0,6724766.0,3456147.0,9294532.0,15193517.0,5211369.0,2319606.0,15806071.0,5002428.0,15254477.0,3554811.0,10902783431.38,52305686.0
R0140,3222852.0,5280818.0,3107949.0,4868841.0,9666133.0,5211369.0,1755597.0,10346514.63,3959344.0,11192673.0,2405748.0,4710113268.18,29358204.0
R0150,1602885.0,1232092.0,199544.0,4425691.0,4609252.0,0.0,564009.0,4619515.68,1043083.0,4061804.0,1108873.0,4725383928.03,17230765.0
R0160,54510.0,211856.0,0.0,0.0,905618.0,0.0,0.0,840046.68,0.0,0.0,40189.0,173490763.72,5497133.0
R0170,1916.0,0.0,148654.0,0.0,12513.0,-1.0,0.0,15806071.0,0.0,0.0,0.0,1293795871.45,219583.0
R0180,258865.0,527496.0,1347982.0,211212.0,2189230.0,903272.0,217197.0,3011236.48,681012.0,2089679.0,605938.0,2449254024.57,11558227.0
R0190,0.0,0.0,0.0,1297.0,1.0,-1.0,0.0,9238.86,0.0,2896.0,0.0,10695198.0,91239.0
R0200,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R0210,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R0220,729869.0,9053648.0,659408.0,21020291.0,7690225.0,1104737.0,1522848.0,5448489.18,5293689.0,8750768.0,6219072.0,4829369144.0,16665297.0
R0230,11809.0,42.0,10557.0,0.0,592.0,39.0,228.0,59.0,0.0,0.0,593284.0,-1.0,719227.0
R0240,443.0,0.0,26.0,0.0,405.0,0.0,118.0,59.0,0.0,0.0,4937.0,-1.0,56534.0
R0250,0.0,42.0,0.0,0.0,187.0,39.0,110.0,0.0,0.0,0.0,287.0,-1.0,6100.0
R0260,11366.0,0.0,10531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,588060.0,-1.0,656592.0
R0270,151416.0,66990.0,3499.0,772.0,27962.0,3874.0,-13766.0,1.742,2760.0,-545.0,18919.0,647721.0,4517353.0
R0280,157503.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,4511603.0
R0290,155450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,4368484.0
R0300,2053.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,143119.0
R0310,-6142.0,66990.0,3499.0,772.0,25013.0,3821.0,-12204.0,1.742,3162.0,-545.0,18919.0,647721.0,5750.0
R0320,191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
R0330,-6332.0,66990.0,3499.0,772.0,25013.0,3821.0,-12204.0,1.742,3162.0,-545.0,18919.0,647721.0,5750.0
R0340,55.0,0.0,0.0,0.0,2949.0,2.0,-1562.0,0.0,-402.0,0.0,0.0,-1.0,0.0
R0350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14633.33,0.0,0.0,0.0,-1.0,208147.0
