,AXA,GENERALI ITALIA,HDI,ZURICH_LIFE,CREDIT_AGRICOLE,CREDEM_VITA,CARDIF,HELVETIA_VITA,BMP VITA,UNICREDIT VITA,CNP_VITA,ALLIANZ_UNICREDIT,ATHORA,NOBIS_VITA,MEDIOLANUM,POSTE_VITA,QRT_INTESA_VITA,QRT_FIDEURAM_VITA,ITAS_VITA,GROUPAMA,BCC_VITA
R0010,11366219821.0,1618628.0,351880.0,207925.0,236350.0,221.6,195209.98,47594.0,2009120.0,381699.0,247000.0,112200.0,50432.0,1009.0,307720.0,1216608.0,320423.0,406947.0,81064962.0,492827.0,2000000.0
R0030,0.0,4196115.0,0.0,0.0,0.0,0.0,754850.2,495.0,0.0,86534.0,0.0,188838.0,628.0,1008.0,0.0,0.0,1328097.0,0.0,48669549.0,36326.0,0.0
R0040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R0050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1006.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R0070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R0090,0.0,0.0,0.0,0.0,0.0,0.0,402196.83,0.0,0.0,0.0,0.0,0.0,0.0,1009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R0110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R0130,0.0,13976214.0,389125.0,542383.0,1142127.0,606.642,0.0,243602.0,-756991.0,646995.0,1667325.0,1076052.0,232651.0,1007.0,2554600.0,9411373.0,5985717.0,1382200.0,314702864.0,363539.0,254310292.0
R0140,0.0,248817.0,167452.0,0.0,682977.0,0.0,0.0,73388.0,0.0,0.0,453926.0,90009.0,81858.0,1006.0,0.0,771116.0,1628747.0,141077.0,0.0,181749.0,51910000.0
R0160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1001.0,0.0,0.0,0.0,0.0,49152.0,1005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R0180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R0220,113662198121.0,0.0,0.0,0.0,0.0,0.0,195209.98,-1.0,2009120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R0230,0.0,0.0,0.0,0.0,0.0,0.0,754850.2,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R0290,1171973198121.0,20029775.0,907564.0,750308.0,2061453.0,828242.0,1665454.17,366081.0,1324734.0,1115228.0,2368251.0,1467099.0,414721.0,0.0,2759332.0,11399097.0,9262984.0,1830229.0,444437375.0,1074441.0,174275452.0
R0300,0.0,0.0,0.0,0.0,0.0,0.0,1352257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1750000.0,0.0,0.0,0.0,0.0,0.0
R0310,0.0,0.0,0.0,0.0,0.0,0.0,112188.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R0320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R0330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R0340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R0350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R0360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R0370,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R0390,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R0400,0.0,0.0,0.0,0.0,0.0,0.0,1352257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1750000.0,0.0,0.0,0.0,0.0,0.0
R0500,1272773.0,20029775.0,907564.0,750308.0,2061453.0,828242.0,1665454.17,366081.0,1200734.0,1115228.0,1914325.0,1467099.0,414721.0,0.0,2759332.0,13140097.0,9262984.0,1830229.0,444437375.0,104.0,174275032.0
R0510,1177141.0,20029775.0,907564.0,750308.0,2061453.0,828242.0,1352257.0,365080.0,1200734.0,1115228.0,1667325.0,1467099.0,365569.0,0.0,2759332.0,11399097.0,9262984.0,1830229.0,444437375.0,104.0,174275032.0
