,UNICREDIT VITA
R0010,0.0
R0030,0.0
R0040,0.0
R0050,0.0
R0060,40749.0
R0070,7358208.0
R0080,0.0
R0090,0.0
R0100,105946.0
R0110,79946.0
R0120,26000.0
R0130,6724766.0
R0140,5280818.0
R0150,1232092.0
R0160,211856.0
R0170,0.0
R0180,527496.0
R0190,0.0
R0200,0.0
R0210,0.0
R0220,9053648.0
R0230,42.0
R0240,0.0
R0250,42.0
R0260,0.0
R0270,66990.0
R0280,0.0
R0290,0.0
R0300,0.0
R0310,66990.0
R0320,0.0
R0330,66990.0
R0340,0.0
R0350,0.0
R0360,10886.0
R0370,36052.0
R0380,340111.0
R0390,0.0
R0400,0.0
R0410,254078.0
R0420,0.0
R0500,17160764.0
