,ZURICH_LIFE
R0010,0.0
R0030,0.0
R0040,0.0
R0050,0.0
R0060,3423.0
R0070,4403623.0
R0080,0.0
R0090,1511.0
R0100,241363.0
R0110,241363.0
R0120,0.0
R0130,3554811.0
R0140,2405748.0
R0150,1108873.0
R0160,40189.0
R0170,0.0
R0180,605938.0
R0190,0.0
R0200,0.0
R0210,0.0
R0220,6219072.0
R0230,593284.0
R0240,4937.0
R0250,287.0
R0260,588060.0
R0270,18919.0
R0280,0.0
R0290,0.0
R0300,0.0
R0310,18919.0
R0320,0.0
R0330,18919.0
R0340,0.0
R0350,0.0
R0360,53843.0
R0370,1272.0
R0380,186013.0
R0390,0.0
R0400,0.0
R0410,40012.0
R0420,576.0
R0500,11520037.0
