,AXA,GENERALI ITALIA,HDI,ZURICH_LIFE,CREDIT_AGRICOLE,CREDEM_VITA,CARDIF,HELVETIA_VITA,BMP VITA,UNICREDIT VITA,CNP_VITA,ALLIANZ_UNICREDIT,ATHORA,NOBIS_VITA,MEDIOLANUM,POSTE_VITA,QRT_INTESA_VITA,QRT_FIDEURAM_VITA,ITAS_VITA,GROUPAMA
R0010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R0030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R0040,0,"83,675","9,916",0,0,639,0,"1,001","6,301",0,0,0,"252,864","5,831,534.87",0,"1,810,440","575,604","50,232","83,877,324",0
R0050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"49,239",0,0,0,0,0
R0060,"7,498,775.00","453,560","41,752","3,423","46,214",755,39,"43,447","3,113","40,749","2,957",0,"2,154","6,880.80",0,"7,865","23,649","3,437","74,806","35,327"
R0070,"13,675,315,161.38","87,964,448","5,328,579","4,403,623","18,074,332","5,683,690","19,072,409.80","2,564,528","7,230,345","7,358,208","17,669,981","9,525,619","4,851,112","202,606,727.71","12,441","143,923,219","86,448,347","9,804,694","2,644,430,792","3,913,719"
R0080,"39,000.00","1,445,609","45,338",0,"8,201",0,0,"1,705",0,0,0,0,"35,915",0,"3,026,658",0,0,0,"6,490,000","7,404"
R0090,"192,314,150.08","18,515,654","136,242","1,511","238,046",0,0,0,"952,890",0,0,0,68,0,"54,983","718,788","1,188,508",0,0,"24,888"
R0100,"120,228,957.35","4,048,034","5,970","241,363","481,033",250,"245,863.46","26,021","162,814","105,946","287,233","18,578","11,000","5,011,983.02",264,"3,390","2,886,234","320,478","39,948,587","4,535"
R0110,"74,597,798.46","946,556","3,961","241,363","480,949",0,"179,268.44","26,021","162,814","79,946","274,214","18,578",0,"5,011,983.02",0,665,"2,736,973","320,254","39,948,347","4,512"
R0120,"45,631,158.89","3,101,477","2,009",0,83,250,"66,595.03",0,0,"26,000","13,019",0,"11,000",0,264,"2,725","149,261",224,240,23
R0130,"10,902,783,831.38","52,305,686","4,882,163","3,554,811","15,254,477","5,002,428","15,806,071.00","2,319,606","5,211,369","6,724,766","15,193,517","9,294,532","3,456,147","193,845,136.72","2,907,449","114,651,137","68,861,573","8,330,755","2,281,370,952","3,228,371"
R0140,"4,710,113,268.18","29,358,204","3,222,852","2,405,748","11,192,673","3,959,344","10,346,514.63","1,755,597","5,211,369","5,280,818","9,666,133","4,868,841","3,107,949","165,802,631.36","2,710,445","91,289,732","46,295,407","5,888,427","2,035,518,681","1,815,591"
R0150,"4,725,383,928.03","17,230,765","1,602,885","1,108,873","4,061,804","1,043,083","4,619,515.68","564,009",0,"1,232,092","4,609,252","4,425,691","199,544","28,042,505.36","147,302","23,302,371","16,584,050","1,815,122","210,805,416","1,402,937"
R0160,"173,490,763.72","5,497,133","54,510","40,189",0,0,"840,040.68",0,0,"211,856","905,618",0,0,0,"49,701","59,034","5,953,643","627,206","35,046,855","9,843"
R0170,"1,293,795,871.45","219,583","1,916",0,0,0,0,0,0,0,"12,513",0,"148,654",0,0,0,"28,473",0,0,0
R0180,"2,449,254,024.57","11,558,227","258,865","605,938","2,089,679","681,012","3,011,236.48","217,197","903,272","527,496","2,189,230","211,212","1,347,982","3,749,607.97","63,945","28,549,904","13,451,622","1,151,582","316,621,254","648,521"
R0190,"10,695,198.00","91,239",0,0,"2,896",0,"9,238.86",0,0,0,1,"1,297",0,0,0,0,"60,411","1,878",0,0
R0200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0
R0210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R0220,"4,829,369,144.00","16,665,297","729,869","6,219,072","8,750,768","5,293,689","5,448,489.18","1,522,848","1,104,737","9,053,648","7,690,225","21,020,291","659,408","386,066,815.01","44,965,646","23,223,494","52,465,353","37,791,036","1,980,867,823","780,991"
R0230,0,"719,227","11,809","593,284",0,0,59,228,39,42,592,0,"10,557","38,714.74","3,451","1,686","148,253","1,759","55,155","3,340"
